,Overall Rank,School,State,Undergrad. Enrollment,Admission Rate,*SAT or ACT,Student/faculty Ratio,4-year Grad. Rate,6-year Grad. Rate,Quality Rank,Total Costs,Cost After Need-based Aid,Need Met,Aid From Grants,Cost After Non-Need-Based Aid,Average Debt,Cost Rank
71,71,Trinity College,CT,2098,36,79,9,77,83,53,38890,19667,100,85,33390,17000,78
72,72,Trinity University,TX,2406,69,80,11,65,75,86,27086,16706,86,71,21193,0,20
73,73,Gustavus Adolphus College,MN,2536,77,70,13,72,75,89,27820,17609,92,70,21977,17400,18
74,74,Vanderbilt University,TN,6146,46,90,9,78,84,52,38847,20971,99,64,23049,24023,86
75,75,Whitman College,WA,1454,50,81,10,60,71,74,33776,21176,94,70,25776,15000,36
76,76,Scripps College,CA,798,58,85,12,63,68,91,36500,17984,100,78,21355,12941,23
77,77,Franklin and Marshall College,PA,1926,62,71,11,78,83,73,36580,20925,98,80,24751,19656,40
78,78,Saint Louis University,MO,7178,72,72,12,52,67,100,29983,16902,71,63,21714,14989,16
79,79,Carnegie Mellon University,PA,5475,38,95,11,61,77,63,38460,24689,83,70,25952,19195,76
80,80,Lawrence University,WI,1389,68,83,11,58,68,83,32875,17882,100,74,25093,18311,34
81,81,Connecticut College,CT,1890,35,84,11,75,81,62,37057,16930,100,86,37057,17250,85
82,82,Case Western Reserve University,OH,3457,78,85,8,49,75,87,32802,18323,96,66,20907,21830,31
83,84,Dickinson College,PA,2261,51,65,13,74,78,79,36600,19753,98,76,24515,17586,39
84,85,Kalamazoo College,MI,1265,73,91,12,60,69,92,30917,17947,NA,68,21467,20000,33
85,86,Saint John's University,MN,1897,87,66,13,67,74,97,27272,19544,88,46,21687,20680,28
86,87,Boston College,MA,9000,34,85,13,0,86,71,37745,24470,100,70,32160,16732,73
87,88,Reed College,OR,1363,55,95,10,45,67,85,37900,18804,100,90,37900,16758,47
88,89,Bard College,NY,1454,36,85,9,59,71,82,38282,20558,87,83,23338,15400,49
89,90,University of Rochester,NY,4695,50,87,12,65,76,76,37246,20297,100,78,27245,0,60
90,91,New York University,NY,19490,28,87,11,65,74,60,40105,28282,70,67,33355,21495,100
91,92,Villanova University,PA,7375,47,74,13,79,84,75,36560,26463,76,57,29161,28217,72
92,93,Skidmore College,NY,2506,46,70,11,71,75,78,38838,21023,98,77,29438,15560,71
93,94,Rose-Hulman Institute of Technology,IN,1642,65,91,13,58,71,93,32625,28677,60,27,28720,27000,63
94,95,St. John's College,MD,465,71,95,8,63,71,81,36635,21940,91,72,34477,20753,75
95,96,Babson College,MA,1735,48,77,13,77,81,77,38443,21316,98,78,30308,0,83
96,97,Rhode Island School of Design,RI,1882,32,55,11,0,87,96,34472,26447,69,53,33222,21125,80
97,98,Rensselaer Polytechnic Institute,NY,5139,70,92,17,48,75,84,39200,22360,90,74,28411,24590,94
98,99,Sarah Lawrence College,NY,1226,40,79,6,51,66,94,42121,22847,94,73,33610,14864,89
99,100,The George Washington University,DC,10328,40,72,14,62,73,98,40240,25866,94,56,29916,0,96
